"","Istanbul","Moscow","London","Saint Petersburg","Berlin","Madrid","Kyiv","Rome","Paris","Bucharest","Hamburg","Minsk","Budapest","Warsaw","Vienna","Barcelona","Stockholm","Munich","Prague","Copenhagen","Brussels","Valencia","Lodz","Krakow","Riga","Amsterdam"
"Istanbul",0,1756.1368298156,2498.39097283995,2106.4449534556,1735.94798198386,2736.62680810759,1056.78989870178,1371.34857241184,2253.15571430279,445.389872304873,1985.22004448018,1436.57061661611,1067.42261633331,1384.72081163961,1274.44161227746,2232.80552396093,2172.51677993404,1582.56579936297,1511.10923732572,2019.95258905479,2179.41989454877,2483.50382450498,1396.94033858242,1224.81751781622,1805.37500115504,2210.94498993647
"Moscow",1756.1368298156,0,2500.2795414125,634.430920264603,1608.17153921349,3440.1018490149,754.944232358473,2375.13910154563,2486.31531198774,1498.51391536317,1781.62521914771,675.114836448775,1568.81449817878,1150.52641072405,1669.53464272378,3010.14434526198,1227.14267396597,1959.84940073634,1667.77888005577,1560.55345409224,2253.060144045,3312.61411422863,1267.50631216336,1338.57080345354,841.500388471734,2147.51553884285
"London",2498.39097283995,2500.2795414125,0,2098.9218354477,931.790719205091,1263.58038485878,2133.08891831309,1435.47480655007,343.887598382263,2091.22584208443,720.431528363627,1872.3838490088,1449.11484335687,1448.32010243838,1235.16174332683,1138.64446824283,1432.59843647213,917.956879240369,1032.69725982062,955.205988376128,320.314275038226,1338.33284253773,1348.78001268961,1415.03176220773,1676.16096904483,356.930636381355
"Saint Petersburg",2106.4449534556,634.430920264603,2098.9218354477,0,1324.38288660436,3189.93791973446,1054.65191552463,2346.30842620892,2164.05873062532,1747.06124731166,1419.85811827446,691.707437782814,1564.73696099394,1031.27679559915,1583.22115478311,2820.74146944737,690.655900132,1781.84700323983,1484.63632717319,1148.70336990936,1907.27650367227,3116.5760065081,1129.5521444341,1278.9773478622,490.817747674262,1769.44185500406
"Berlin",1735.94798198386,1608.17153921349,931.790719205091,1324.38288660436,0,1869.70420019338,1203.98739334243,1184.19775276043,878.198595636129,1294.74506839939,255.375783229313,953.316780685725,688.154897158367,516.773482688699,523.750256947556,1500.31871321263,809.937397221116,504.85144056997,279.853933175651,354.735820799339,651.308528414684,1793.57159608441,421.992961242296,529.72557169706,842.998580506149,577.358336182137
"Madrid",2736.62680810759,3440.1018490149,1263.58038485878,3189.93791973446,1869.70420019338,0,2862.58583781389,1365.27884602947,1052.56149440655,2472.88484813435,1785.62887257907,2765.26344968247,1974.09844556654,2289.76892791702,1809.38318795053,504.241641500271,2593.02064309604,1484.45443463407,1772.38182674967,2072.48004763745,1316.48893707354,302.016223944178,2172.76666115854,2125.69984933108,2712.66499129529,1481.49791293359
"Kyiv",1056.78989870178,754.944232358473,2133.08891831309,1054.65191552463,1203.98739334243,2862.58583781389,0,1675.32355497908,2023.56604035468,747.207092375355,1441.43611242842,432.836865464425,899.098261858269,688.969577172155,1053.67810972287,2395.1801550441,1263.9628451534,1393.98693374996,1142.93430271461,1327.81159542822,1836.18358764397,2694.0366042106,784.309505620824,753.277770090041,835.533619769998,1780.98083534532
"Rome",1371.34857241184,2375.13910154563,1435.47480655007,2346.30842620892,1184.19775276043,1365.27884602947,1675.32355497908,0,1106.78593741785,1136.76850252491,1309.79681968891,1736.98637767929,808.703124821011,1315.50261044213,764.798918823682,861.564099805764,1976.54885856974,698.337807379926,923.141902893026,1532.71700268806,1175.03264375338,1118.5569432546,1218.15662675961,1073.23980795241,1866.38706010024,1298.65250230078
"Paris",2253.15571430279,2486.31531198774,343.887598382263,2164.05873062532,878.198595636129,1052.56149440655,2023.56604035468,1106.78593741785,0,1870.28988074051,745.035805082638,1826.52301803486,1244.03195550087,1366.67476051914,1033.38397711936,830.165220063392,1543.85566166209,683.864646076849,881.803962452729,1026.8389804118,264.184112895955,1065.27790330019,1255.07738500291,1275.06576740593,1703.06365527538,430.412918746977
"Bucharest",445.389872304873,1498.51391536317,2091.22584208443,1747.06124731166,1294.74506839939,2472.88484813435,747.207092375355,1136.76850252491,1870.28988074051,0,1546.14143930362,1058.04585158122,643.421871410977,944.722630540133,856.469592078595,1972.08506704845,1742.95581090573,1187.93169317621,1081.13394837879,1574.56629070705,1770.91648394929,2247.75616372044,952.191221773624,779.603756434401,1398.42727418252,1788.37872939357
"Hamburg",1985.22004448018,1781.62521914771,720.431528363627,1419.85811827446,255.375783229313,1785.62887257907,1441.43611242842,1309.79681968891,745.035805082638,1546.14143930362,0,1153.84515723321,927.045722720038,752.874851486638,743.129292438946,1472.86395663117,810.792688891747,612.058341508339,490.590240023143,288.545235083874,487.730187628687,1750.83849247142,668.772868844478,785.090751540397,968.647744521495,365.891182089703
"Minsk",1436.57061661611,675.114836448775,1872.3838490088,691.707437782814,953.316780685725,2765.26344968247,432.836865464425,1736.98637767929,1826.52301803486,1058.04585158122,1153.84515723321,0,929.973652575728,475.5044292048,1004.36795974165,2336.54667803402,836.466249695108,1284.90512343957,992.882768991669,979.803656712411,1604.42271988087,2638.95396989052,592.505484964894,674.097821071205,402.889806615298,1515.59295439301
"Budapest",1067.42261633331,1568.81449817878,1449.11484335687,1564.73696099394,688.154897158367,1974.09844556654,899.098261858269,808.703124821011,1244.03195550087,643.421871410977,927.045722720038,929.973652575728,0,544.698471404913,214.173005465451,1498.18147094672,1317.08978871123,561.66371318324,444.194303722163,1012.35241846126,1128.87268768925,1795.7793558728,476.072578082823,292.461455513399,1104.99093223314,1146.0005811508
"Warsaw",1384.72081163961,1150.52641072405,1448.32010243838,1031.27679559915,516.773482688699,2289.76892791702,688.969577172155,1315.50261044213,1366.67476051914,944.722630540133,752.874851486638,475.5044292048,544.698471404913,0,555.550906482827,1864.07773740746,810.405847944625,810.471777050597,517.401486983261,671.787958214761,1159.9330923864,2166.24689007753,117.002433456384,252.497255118696,560.891942278042,1094.08057487579
"Vienna",1274.44161227746,1669.53464272378,1235.16174332683,1583.22115478311,523.750256947556,1809.38318795053,1053.67810972287,764.798918823682,1033.38397711936,856.469592078595,743.129292438946,1004.36795974165,214.173005465451,555.550906482827,0,1350.40817859717,1241.49951208235,355.716983905178,252.610693105599,870.038667924763,914.875768764756,1651.94934545306,453.837726701584,331.149418949397,1101.60620067295,936.510393357471
"Barcelona",2232.80552396093,3010.14434526198,1138.64446824283,2820.74146944737,1500.31871321263,504.241641500271,2395.1801550441,861.564099805764,830.165220063392,1972.08506704845,1472.86395663117,2336.54667803402,1498.18147094672,1864.07773740746,1350.40817859717,0,2278.67944493732,1054.83916179383,1353.59291569964,1759.34763895422,1065.41054724965,302.472503678128,1748.15222167225,1676.7169438502,2332.81647783134,1238.7710098407
"Stockholm",2172.51677993404,1227.14267396597,1432.59843647213,690.655900132,809.937397221116,2593.02064309604,1263.9628451534,1976.54885856974,1543.85566166209,1742.95581090573,810.792688891747,836.466249695108,1317.08978871123,810.405847944625,1241.49951208235,2278.67944493732,0,1314.23655165203,1053.57232234175,522.257720429769,1280.13873426011,2560.54452746743,845.085654439109,1037.40958880471,442.232325481911,1125.4052858023
"Munich",1582.56579936297,1959.84940073634,917.956879240369,1781.84700323983,504.85144056997,1484.45443463407,1393.98693374996,698.337807379926,683.864646076849,1187.93169317621,612.058341508339,1284.90512343957,561.66371318324,810.471777050597,355.716983905178,1054.83916179383,1314.23655165203,0,299.844398747007,840.967704410866,602.464643694869,1356.55188175297,694.020121575343,644.800845865122,1291.11622278843,668.693720422536
"Prague",1511.10923732572,1667.77888005577,1032.69725982062,1484.63632717319,279.853933175651,1772.38182674967,1142.93430271461,923.141902893026,881.803962452729,1081.13394837879,490.590240023143,992.882768991669,444.194303722163,517.401486983261,252.610693105599,1353.59291569964,1053.57232234175,299.844398747007,0,633.633123248061,717.293953176198,1654.78027140917,400.404182559578,393.550199069434,993.845319448187,709.980117396201
"Copenhagen",2019.95258905479,1560.55345409224,955.205988376128,1148.70336990936,354.735820799339,2072.48004763745,1327.81159542822,1532.71700268806,1026.8389804118,1574.56629070705,288.545235083874,979.803656712411,1012.35241846126,671.787958214761,870.038667924763,1759.34763895422,522.257720429769,840.967704410866,633.633123248061,0,764.925199889756,2039.00090236439,628.076967456458,795.681416109264,724.734513666765,620.866626754909
"Brussels",2179.41989454877,2253.060144045,320.314275038226,1907.27650367227,651.308528414684,1316.48893707354,1836.18358764397,1175.03264375338,264.184112895955,1770.91648394929,487.730187628687,1604.42271988087,1128.87268768925,1159.9330923864,914.875768764756,1065.41054724965,1280.13873426011,602.464643694869,717.293953176198,764.925199889756,0,1317.51004841343,1054.36640951966,1104.94538648858,1453.8552948599,173.481269164201
"Valencia",2483.50382450498,3312.61411422863,1338.33284253773,3116.5760065081,1793.57159608441,302.016223944178,2694.0366042106,1118.5569432546,1065.27790330019,2247.75616372044,1750.83849247142,2638.95396989052,1795.7793558728,2166.24689007753,1651.94934545306,302.472503678128,2560.54452746743,1356.55188175297,1654.78027140917,2039.00090236439,1317.51004841343,0,2050.20309835134,1978.88253182831,2629.98529423879,1490.19613365806
"Lodz",1396.94033858242,1267.50631216336,1348.78001268961,1129.5521444341,421.992961242296,2172.76666115854,784.309505620824,1218.15662675961,1255.07738500291,952.191221773624,668.772868844478,592.505484964894,476.072578082823,117.002433456384,453.837726701584,1748.15222167225,845.085654439109,694.020121575343,400.404182559578,628.076967456458,1054.36640951966,2050.20309835134,0,192.79511749569,648.692754772669,997.356924310511
"Krakow",1224.81751781622,1338.57080345354,1415.03176220773,1278.9773478622,529.72557169706,2125.69984933108,753.277770090041,1073.23980795241,1275.06576740593,779.603756434401,785.090751540397,674.097821071205,292.461455513399,252.497255118696,331.149418949397,1676.7169438502,1037.40958880471,644.800845865122,393.550199069434,795.681416109264,1104.94538648858,1978.88253182831,192.79511749569,0,813.29709098198,1076.90736051346
"Riga",1805.37500115504,841.500388471734,1676.16096904483,490.817747674262,842.998580506149,2712.66499129529,835.533619769998,1866.38706010024,1703.06365527538,1398.42727418252,968.647744521495,402.889806615298,1104.99093223314,560.891942278042,1101.60620067295,2332.81647783134,442.232325481911,1291.11622278843,993.845319448187,724.734513666765,1453.8552948599,2629.98529423879,648.692754772669,813.29709098198,0,1330.73437112814
"Amsterdam",2210.94498993647,2147.51553884285,356.930636381355,1769.44185500406,577.358336182137,1481.49791293359,1780.98083534532,1298.65250230078,430.412918746977,1788.37872939357,365.891182089703,1515.59295439301,1146.0005811508,1094.08057487579,936.510393357471,1238.7710098407,1125.4052858023,668.693720422536,709.980117396201,620.866626754909,173.481269164201,1490.19613365806,997.356924310511,1076.90736051346,1330.73437112814,0
